dataset,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_star
heart,0.5,0.5,0.07406305956992351,11.0,9.685738607693846,1072.0,0.044588655637913845,26.789388470197363,0.7777777777777778,0.80756679483068,0.7608704084403243,0.7933361778053605,0.0324657693650362
heart,0.8888888888888888,0.9444444444444444,0.22965673851761886,3.0,8.594705915009728,1357.0,1.8627523686544305,0.37624481090234907,0.7777777777777778,0.7789270459715201,0.7270082618982973,0.7933361778053605,0.06632791590706322
heart,0.8888888888888888,0.9444444444444444,0.8930016176563254,3.0,19.840064730601398,663.0,0.2207542044379121,26.789388470197363,0.5555555555555556,0.7399050720740835,0.7012140723788837,0.7933361778053605,0.09212210542647681
heart,0.6111111111111112,0.5,0.22965673851761886,3.0,15.622108075491552,1204.0,0.03732821303899783,0.03732821303899783,0.7777777777777778,0.7681378116745596,0.7254567317016406,0.7933361778053605,0.06787944610371988
heart,0.8333333333333333,0.7222222222222222,0.13041886637087732,3.0,1.0,1526.0,0.03732821303899783,2.6578439649485035,0.7777777777777778,0.784925141245423,0.7461696598270045,0.7933361778053605,0.047166517978356026
heart,0.8333333333333333,0.6666666666666666,0.012112605663927412,10.0,22.358610386509486,500.0,22.427229206473235,1.8627523686544305,0.7222222222222222,0.7952650255320162,0.797719250610915,0.7933361778053605,-0.0043830728055545
heart,0.6666666666666666,0.5555555555555556,0.0068785802223072495,8.0,3.30382651195861,1634.0,0.4494254865977708,9.222310278794142,0.9444444444444444,0.8063220644756453,0.776308133897056,0.7933361778053605,0.01702804390830448
heart,0.7777777777777778,0.6111111111111112,0.033540332850133574,6.0,8.594705915009728,1469.0,0.044588655637913845,0.7659831786679867,0.6666666666666666,0.7960943761776627,0.7477599782785773,0.7933361778053605,0.04557619952678316
heart,0.8333333333333333,0.6666666666666666,0.36113552355158474,3.0,2.3084053051719735,1763.0,26.789388470197363,0.6412569042179157,0.8888888888888888,0.7982182434754472,0.7937240603545247,0.7933361778053605,-0.00038788254916422016
heart,0.5,0.9444444444444444,0.05906172676928791,4.0,13.862383667332647,1538.0,5.411008231029584,13.158733350628646,0.8333333333333333,0.8087875841455444,0.7729723439742446,0.7933361778053605,0.02036383383111584
heart,1.0,0.9444444444444444,0.8930016176563254,4.0,1.0,1427.0,0.2207542044379121,0.06362074277108691,0.7222222222222222,0.7599376755062763,0.7193281874248478,0.7933361778053605,0.07400799038051264
heart,0.8333333333333333,0.9444444444444444,0.36113552355158474,5.0,8.594705915009728,915.0,0.4494254865977708,0.044588655637913845,0.6666666666666666,0.7575088070893445,0.7118808424808969,0.7933361778053605,0.08145533532446358
