dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc
heart,12,2,distance,0.6634328867889077,0.6715992397502037
heart,21,1,uniform,0.6788391197753965,0.6780962724487025
heart,27,2,uniform,0.6781969912588,0.6743532058492689
diabetes,13,2,distance,0.8097902439024389,0.777731343283582
diabetes,25,2,uniform,0.8065910569105691,0.7829253731343284
diabetes,14,2,uniform,0.804209756097561,0.7774925373134329
diabetes,25,1,distance,0.8118723577235774,0.8016119402985075
diabetes,24,1,distance,0.8150626016260162,0.800597014925373
diabetes,22,2,uniform,0.8106268292682925,0.7823880597014926
diabetes,19,2,uniform,0.8060349593495936,0.7715820895522388
diabetes,17,2,uniform,0.8102788617886179,0.7756417910447762
diabetes,29,2,distance,0.8192146341463415,0.7908059701492538
diabetes,1,2,distance,0.670869918699187,0.6561194029850747
diabetes,30,1,distance,0.8142260162601624,0.8087164179104478
diabetes,18,2,distance,0.8140764227642275,0.7702089552238806
diabetes,30,1,uniform,0.8091162601626015,0.8111044776119404
diabetes,30,2,distance,0.8177764227642277,0.7912835820895522
diabetes,9,1,distance,0.7986585365853658,0.7659701492537314
diabetes,16,1,distance,0.8146593495934958,0.7804179104477613
diabetes,23,2,distance,0.8169650406504065,0.7867462686567164
diabetes,11,1,uniform,0.8011544715447154,0.7761791044776118
diabetes,6,2,uniform,0.7893747967479674,0.7226268656716418
diabetes,21,1,distance,0.8135455284552846,0.7902089552238806
diabetes,28,2,distance,0.8183658536585365,0.7877014925373135
diabetes,5,1,distance,0.7800260162601627,0.7300298507462686
diabetes,16,2,distance,0.8137609756097561,0.7836417910447762
diabetes,10,2,distance,0.8053235772357723,0.7663880597014925
diabetes,27,1,uniform,0.8065260162601625,0.8125373134328358
diabetes,7,2,distance,0.7978577235772357,0.7431641791044776
diabetes,23,1,uniform,0.8098731707317073,0.8062686567164179
diabetes,26,2,distance,0.8143341463414634,0.783044776119403
diabetes,18,1,distance,0.8144560975609755,0.7878805970149254
diabetes,14,1,distance,0.8099113821138211,0.7788059701492538
diabetes,22,1,distance,0.815571544715447,0.7988059701492538
diabetes,3,2,uniform,0.7596471544715448,0.7294925373134329
diabetes,8,2,uniform,0.7999682926829269,0.7423283582089553
diabetes,20,2,distance,0.814460975609756,0.7770746268656715
diabetes,29,1,distance,0.8129056910569105,0.8095522388059702
diabetes,29,2,uniform,0.8128528455284553,0.791402985074627
diabetes,12,2,distance,0.8106373983739837,0.771044776119403
diabetes,27,2,distance,0.8176642276422765,0.7845970149253733
diabetes,17,1,distance,0.8155365853658537,0.7894925373134328
diabetes,24,2,distance,0.8167983739837398,0.786626865671642
diabetes,15,2,distance,0.8114121951219511,0.7817313432835822
diabetes,9,2,uniform,0.8009333333333333,0.7636417910447761
