dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_star
heart,0.039469146680947226,22.0,58.0,4.0,0.7541170466235464,0.7658934874519996,0.7687832124432723,0.002889724991272713
heart,0.0570061170089365,24.0,50.0,33.0,0.6757958921061805,0.7251270315348513,0.7687832124432723,0.04365618090842105
heart,0.06711435168240507,23.0,2.0,28.0,0.6757958921061805,0.7251270315348513,0.7687832124432723,0.04365618090842105
heart,0.029529058841893874,26.0,17.0,41.0,0.7541170466235464,0.7658934874519996,0.7687832124432723,0.002889724991272713
heart,0.0697015740995268,11.0,54.0,49.0,0.6757958921061805,0.7251270315348513,0.7687832124432723,0.04365618090842105
heart,0.05528199769079078,10.0,55.0,27.0,0.6757958921061805,0.7251270315348513,0.7687832124432723,0.04365618090842105
heart,0.08101133946791808,25.0,24.0,14.0,0.607314043921362,0.7251270315348513,0.7687832124432723,0.04365618090842105
heart,0.008159418040024036,7.0,57.0,37.0,0.7642801892296376,0.7735541677979907,0.7687832124432723,-0.004770955354718387
diabetes,0.03745401188473625,29.0,15.0,44.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.07796910002727693,21.0,39.0,59.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.015599452033620266,11.0,11.0,25.0,0.7570746268656716,0.7157014925373134,0.7845970149253731,0.06889552238805974
diabetes,0.03337086111390219,8.0,24.0,4.0,0.6668258706467661,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.0020584494295802446,2.0,24.0,45.0,0.7168756218905473,0.7157014925373134,0.7845970149253731,0.06889552238805974
diabetes,0.09385527090157503,2.0,21.0,34.0,0.6515422885572139,0.5,0.7845970149253731,0.28459701492537315
diabetes,0.030424224295953775,22.0,44.0,26.0,0.6668258706467661,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.029122914019804193,27.0,42.0,29.0,0.6668258706467661,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.09737555188414593,15.0,47.0,52.0,0.6009950248756218,0.5,0.7845970149253731,0.28459701492537315
diabetes,0.03824619912671628,20.0,57.0,4.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.08599404067363206,7.0,21.0,10.0,0.6515422885572139,0.6417313432835822,0.7845970149253731,0.14286567164179098
diabetes,0.006505159298527952,4.0,25.0,15.0,0.7637611940298507,0.7690149253731343,0.7845970149253731,0.015582089552238831
