dataset,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_star
heart,0.8888888888888888,0.6111111111111112,0.08293720650170974,9.0,19.840064730601398,840.0,2.6578439649485035,1.5594374008644958,0.9444444444444444,0.7640301017796481,0.771226872503006,0.8035956712307513,0.03236879872774523
heart,0.7222222222222222,0.5,0.00390625,4.0,32.0,1241.0,2.225062952192973,32.0,0.7222222222222222,0.7354493661208725,0.7866258097048214,0.8035956712307513,0.01696986152592983
heart,0.5,0.8333333333333333,0.00614258326569918,8.0,28.395417264496608,346.0,0.044588655637913845,0.2207542044379121,1.0,0.773029390452258,0.8028780885147978,0.8035956712307513,0.0007175827159534576
heart,0.6111111111111112,0.7222222222222222,0.04205938101976114,11.0,28.395417264496608,1343.0,0.06362074277108691,5.411008231029584,0.6666666666666666,0.723858053622119,0.7498157557891469,0.8035956712307513,0.05377991544160432
heart,0.7222222222222222,1.0,0.06613843200451852,7.0,2.048379120497995,1735.0,9.222310278794142,5.411008231029584,0.7222222222222222,0.7801552954003045,0.7861603506458245,0.8035956712307513,0.017435320584926806
heart,0.8333333333333333,1.0,0.010816576451920346,8.0,1.6128979635153649,1223.0,11.016075609554143,6.4634645761165785,1.0,0.7884665244011886,0.7881773399014778,0.8035956712307513,0.015418331329273505
heart,1.0,0.6111111111111112,0.13041886637087732,3.0,15.622108075491552,1448.0,0.05326127477678591,0.4494254865977708,0.8888888888888888,0.7443708741349395,0.7261549202901361,0.8035956712307513,0.0774407509406152
heart,0.8333333333333333,0.5555555555555556,0.8930016176563254,6.0,15.622108075491552,789.0,13.158733350628646,9.222310278794142,0.5,0.7720255546026871,0.7873627865482332,0.8035956712307513,0.016232884682518045
heart,0.6111111111111112,0.7222222222222222,0.013563923541053414,5.0,1.0,1540.0,32.0,0.15471578566317848,0.5555555555555556,0.7547000791102424,0.7949458903843917,0.8035956712307513,0.00864978084635959
heart,0.6111111111111112,0.5555555555555556,0.18314019998387457,9.0,6.767489244843735,189.0,0.10843269959149042,4.52992504739022,1.0,0.7683033844558345,0.7621116325976495,0.8035956712307513,0.041484038633101794
heart,1.0,1.0,0.16354449484350292,5.0,2.601439840712011,1319.0,0.18480844184739367,4.52992504739022,0.8888888888888888,0.7529513438769337,0.7450448004344284,0.8035956712307513,0.05855087079632282
heart,0.6666666666666666,0.9444444444444444,0.03755909528827044,11.0,1.431215958721113,1517.0,18.77536736007401,0.12952316514383383,0.8888888888888888,0.7865402897163332,0.794053760521314,0.8035956712307513,0.009541910709437218
heart,0.6111111111111112,0.5,0.18314019998387457,6.0,7.6265706475730735,1108.0,26.789388470197363,7.720626645353454,0.8888888888888888,0.7736649315596684,0.8003956402001475,0.8035956712307513,0.003200031030603734
heart,0.8333333333333333,0.7222222222222222,0.013563923541053414,3.0,13.862383667332647,1648.0,1.5594374008644958,2.225062952192973,0.6111111111111112,0.7674836959773439,0.7829797137426787,0.8035956712307513,0.020615957488072545
heart,0.9444444444444444,0.5,0.8930016176563254,6.0,6.005177529385341,828.0,1.3055116977098091,0.2636915191204116,0.6111111111111112,0.7123564880370686,0.7039680384779488,0.8035956712307513,0.09962763275280251
heart,0.5,0.6666666666666666,0.013563923541053414,11.0,8.594705915009728,175.0,0.12952316514383383,0.0907764285071453,0.6666666666666666,0.7794818611515526,0.7915519180792056,0.8035956712307513,0.01204375315154571
heart,0.6111111111111112,1.0,0.7121258270022673,7.0,1.6128979635153649,1222.0,0.2207542044379121,2.225062952192973,0.6666666666666666,0.7439400889491633,0.7290252511539508,0.8035956712307513,0.07457042007680048
heart,0.7222222222222222,0.6666666666666666,0.047098885587850976,11.0,2.048379120497995,208.0,26.789388470197363,0.31498026247371824,1.0,0.7780921135730573,0.7959349908847602,0.8035956712307513,0.0076606803459911
heart,0.7222222222222222,0.6111111111111112,0.047098885587850976,4.0,5.328735052946112,687.0,0.12952316514383383,0.15471578566317848,1.0,0.7595487392220605,0.7606764671657423,0.8035956712307513,0.04291920406500893
heart,0.5,0.7777777777777778,0.007702763451157033,10.0,2.931672886767848,1516.0,3.174802103936398,0.03732821303899783,0.7222222222222222,0.7778969971347467,0.7861603506458243,0.8035956712307513,0.017435320584926917
heart,0.7222222222222222,0.7777777777777778,0.029951571491900867,10.0,6.005177529385341,1488.0,0.03125,1.3055116977098091,0.6666666666666666,0.7595653590208944,0.7482254373375742,0.8035956712307513,0.05537023389317708
heart,0.5,0.8333333333333333,0.05906172676928791,6.0,1.431215958721113,1193.0,6.4634645761165785,0.7659831786679867,0.7777777777777778,0.7789639882198867,0.783949420115589,0.8035956712307513,0.019646251115162272
heart,0.8333333333333333,1.0,0.06613843200451852,5.0,2.048379120497995,1249.0,0.044588655637913845,0.2636915191204116,0.5555555555555556,0.7517440816896354,0.7396920212559638,0.8035956712307513,0.06390364997478748
heart,1.0,0.6666666666666666,0.08293720650170974,10.0,28.395417264496608,994.0,26.789388470197363,0.03125,0.6111111111111112,0.731175086256756,0.7863736860478647,0.8035956712307513,0.017221985182886534
heart,0.9444444444444444,0.5,0.05906172676928791,10.0,1.0,1033.0,0.07599515647546923,7.720626645353454,0.7222222222222222,0.7710270370887432,0.7550521702028625,0.8035956712307513,0.048543501027888736
heart,0.7777777777777778,0.7222222222222222,0.012112605663927412,7.0,1.431215958721113,1350.0,0.7659831786679867,0.9149690648834351,0.9444444444444444,0.7679822899423625,0.7664559171482876,0.8035956712307513,0.037139754082463616
heart,0.5555555555555556,0.9444444444444444,0.8930016176563254,3.0,10.915269621120595,1689.0,0.044588655637913845,0.4494254865977708,0.8333333333333333,0.6815373978713362,0.6814708506264302,0.8035956712307513,0.12212482060432106
heart,0.9444444444444444,1.0,0.13041886637087732,10.0,1.8176431200757233,1071.0,1.8627523686544305,3.7923100573566844,0.7222222222222222,0.7656787858239763,0.758853419184671,0.8035956712307513,0.04474225204608029
heart,0.8888888888888888,1.0,0.08293720650170974,6.0,19.840064730601398,1771.0,3.7923100573566844,3.7923100573566844,0.7222222222222222,0.7494232929804617,0.7604049493813274,0.8035956712307513,0.04319072184942385
heart,0.9444444444444444,0.6666666666666666,0.07406305956992351,8.0,6.767489244843735,1324.0,9.222310278794142,0.9149690648834351,0.6111111111111112,0.7814642707564667,0.788565222450642,0.8035956712307513,0.015030448780109285
heart,0.7777777777777778,0.5555555555555556,0.00614258326569918,11.0,1.126942411232332,109.0,5.411008231029584,0.06362074277108691,0.8333333333333333,0.7762562905938587,0.8062914549474419,0.8035956712307513,-0.0026957837166906584
heart,0.8888888888888888,0.5,0.00390625,4.0,5.328735052946112,276.0,0.18480844184739367,1.0929331256979677,1.0,0.7750942342593886,0.7933749660602769,0.8035956712307513,0.010220705170474353
