dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc
diabetes,28,2,uniform,0.7792270663217182,0.7931940298507464
diabetes,14,2,distance,0.7737457892041932,0.7709850746268656
diabetes,12,2,distance,0.7721245991322391,0.7720597014925373
diabetes,28,1,distance,0.7905698722612986,0.8175522388059702
diabetes,16,1,distance,0.7849923868811814,0.7891940298507463
diabetes,15,2,uniform,0.7691403913008327,0.7789850746268657
diabetes,14,2,uniform,0.7622039305252378,0.7737313432835821
diabetes,5,2,uniform,0.7712501010590994,0.7087164179104477
diabetes,26,2,distance,0.781382286361064,0.7979104477611941
diabetes,3,1,distance,0.756032857681839,0.697731343283582
diabetes,4,2,distance,0.783247635217075,0.7051940298507462
diabetes,9,2,distance,0.7799719729431105,0.7537910447761194
diabetes,17,1,distance,0.7824979114452798,0.7924179104477612
diabetes,15,1,distance,0.7842508152100682,0.7815522388059701
diabetes,11,1,distance,0.7819597717411809,0.7695522388059701
diabetes,18,1,uniform,0.7757298151292209,0.8012537313432836
diabetes,20,1,distance,0.7851929891934137,0.8014925373134327
diabetes,23,1,distance,0.7860002829654783,0.8093731343283582
diabetes,9,1,distance,0.7797049411162316,0.7742686567164179
diabetes,26,1,distance,0.7865889522192578,0.814089552238806
diabetes,22,2,distance,0.7866104104346888,0.7817910447761194
diabetes,19,2,distance,0.7840644622308459,0.7874029850746269
diabetes,3,2,distance,0.7835368663594471,0.7076417910447762
diabetes,29,1,uniform,0.7856299013663189,0.8179701492537313
diabetes,28,2,distance,0.7855036111784839,0.7924179104477612
diabetes,24,2,uniform,0.7771841903144959,0.7976716417910448
diabetes,6,1,distance,0.7724529738324305,0.7391641791044776
diabetes,13,1,distance,0.7857125003368637,0.7810149253731344
diabetes,8,2,distance,0.7845461098984019,0.7465074626865671
diabetes,27,1,uniform,0.7854471865146737,0.8168358208955224
diabetes,17,2,distance,0.7834356725146199,0.7811940298507464
diabetes,25,2,distance,0.7855364216994098,0.7936119402985075
diabetes,21,2,uniform,0.7777254291643086,0.7897910447761194
diabetes,24,1,uniform,0.779680046891422,0.8103880597014925
diabetes,11,2,distance,0.7739783261918236,0.770268656716418
diabetes,2,1,distance,0.7240057132077504,0.6662686567164179
diabetes,16,1,uniform,0.7754513973104805,0.7917014925373134
diabetes,21,1,uniform,0.7776669159457784,0.8117014925373134
diabetes,12,1,uniform,0.7699422952542647,0.7798805970149254
diabetes,27,2,uniform,0.7742666814886678,0.7931343283582091
diabetes,7,1,distance,0.7751321516155981,0.7444179104477613
diabetes,15,2,distance,0.779630527932735,0.7746865671641792
diabetes,4,1,uniform,0.7412341000350338,0.6986865671641791
diabetes,2,2,uniform,0.7425998800765354,0.6924179104477611
diabetes,9,1,uniform,0.7670149500094322,0.787044776119403
diabetes,25,1,uniform,0.7783709946910287,0.8087164179104478
diabetes,29,2,uniform,0.7797755140539522,0.7897910447761195
diabetes,19,1,uniform,0.7762788692160508,0.7989253731343283
diabetes,23,2,uniform,0.778725947934352,0.7882985074626866
diabetes,10,2,uniform,0.7639971568706713,0.7728955223880597
cancer,13,2,distance,0.7416463709779141,0.743796109993293
cancer,25,2,uniform,0.7501152222226728,0.7687602890067678
cancer,14,2,uniform,0.7525320756684633,0.7411781293823547
cancer,25,1,distance,0.7464176659377945,0.7623963477836717
cancer,24,1,distance,0.748246277762912,0.7608301323090055
cancer,22,2,uniform,0.7516390614216701,0.763082281568197
cancer,19,2,uniform,0.7552030818949597,0.7413648558014756
cancer,17,2,uniform,0.7553896630903278,0.7392270288397047
cancer,29,2,distance,0.7520813298358281,0.7758444607036157
cancer,1,2,distance,0.6026484750444621,0.6531004207060546
cancer,30,1,uniform,0.7433974368070535,0.7747507773916225
cancer,16,1,uniform,0.7500596516324395,0.7365404548503138
cancer,19,2,distance,0.7525095737674492,0.7466503566855679
cancer,10,2,uniform,0.7497583034779545,0.7335413999146394
cancer,30,2,distance,0.7522458486270356,0.7771858423266875
cancer,7,1,uniform,0.7392038116117715,0.7267392232180964
cancer,18,2,distance,0.7494052146343837,0.7467837326992256
cancer,23,2,distance,0.7502195699248784,0.7612302603499786
cancer,1,2,uniform,0.6026484750444621,0.6531004207060546
cancer,12,1,uniform,0.7451483522894156,0.7294600938967136
cancer,27,2,distance,0.7507617893834228,0.7729940247545881
cancer,9,1,distance,0.7379554493780711,0.7394366197183098
cancer,20,1,uniform,0.7476653907462067,0.7498437595268581
cancer,28,2,uniform,0.7493422505865214,0.7822579415889275
cancer,29,1,distance,0.7455247040589802,0.7691451740747516
cancer,8,2,uniform,0.7433949966281779,0.7305728309249436
cancer,16,2,uniform,0.7572600884940005,0.7385601487714164
cancer,6,2,distance,0.7194845082004876,0.7295363087616609
cancer,21,2,distance,0.7495969490077788,0.7557656545332602
cancer,30,2,uniform,0.7510336690064454,0.7853979940247546
cancer,16,2,distance,0.7507669056786259,0.7450993841838911
cancer,23,1,uniform,0.7479310529387332,0.7634900310956649
cancer,15,2,uniform,0.7581272932106774,0.7401149320163405
cancer,27,1,uniform,0.7450681890206985,0.7721556612401683
cancer,18,1,uniform,0.7461594216975965,0.7375007621486493
cancer,4,1,uniform,0.6986305689122057,0.7073196756295348
cancer,14,1,uniform,0.7482525762793103,0.7384686909334797
cancer,20,2,uniform,0.7546344692567304,0.746692274861289
cancer,10,1,uniform,0.7489342815090808,0.7254702457167246
cancer,11,2,uniform,0.7453689676030286,0.7370358514724711
cancer,24,2,uniform,0.7493422427031697,0.7649419242729102
cancer,9,2,uniform,0.7469260337213744,0.7358926284982624
cancer,21,1,uniform,0.7481912826573474,0.7561657825742332
cancer,26,2,distance,0.7502127266125733,0.7675980123163222
cancer,6,2,distance,0.7194845082004876,0.7295363087616609
cancer,11,2,uniform,0.7453689676030286,0.7370358514724711
cancer,15,1,distance,0.7437776041188033,0.7427062374245472
cancer,17,2,distance,0.7505814889669115,0.7446535272239498
cancer,11,2,uniform,0.7453689676030286,0.7370358514724711
cancer,11,1,distance,0.7416737932165336,0.7364223218096457
cancer,22,1,distance,0.7481742174534702,0.7556780074385709
cancer,5,2,uniform,0.7129408657406657,0.7016569111639535
cancer,28,1,distance,0.7469815336429912,0.7658565026522772
cancer,25,2,distance,0.7506956886062595,0.7658183952198037
cancer,3,2,distance,0.6737432020169668,0.6989246082555941
cancer,8,1,uniform,0.739900423696364,0.722314950307908
cancer,13,2,uniform,0.7501653471062243,0.7339110420096335
cancer,12,2,distance,0.7381396151708118,0.7443067495884398
cancer,6,1,uniform,0.7192881249020212,0.7173343088836047
cancer,5,1,distance,0.7005108721554615,0.7170675568562892
cancer,20,2,distance,0.7520474103077299,0.7498170843241265
cancer,13,1,uniform,0.7498968314219584,0.7311368209255533
cancer,29,2,uniform,0.7506488248963452,0.7835955124687519
cancer,17,1,uniform,0.7460289809461644,0.7339910676178282
cancer,26,1,uniform,0.7470316568372535,0.7686916956283154
cancer,7,2,uniform,0.744059068489658,0.7175553319919517
cancer,19,1,distance,0.745728602443929,0.7487881836473386
cancer,10,2,distance,0.7406760658178776,0.7419440887750748
cancer,8,2,distance,0.733534468040442,0.7399129626242302
cancer,26,2,uniform,0.7494125599472581,0.771248704347296
cancer,15,1,uniform,0.7490719715654264,0.7327106578867143
cancer,21,2,uniform,0.7508280954092765,0.7575338394000366
cancer,2,1,uniform,0.6425439815002514,0.6589803975367355
cancer,24,1,uniform,0.7490709470112638,0.7653191878543991
cancer,27,1,distance,0.7464383923954038,0.7664967075178344
cancer,23,2,uniform,0.7512199185379492,0.7642750442046217
cancer,15,2,distance,0.7502743302191842,0.7475649350649352
cancer,22,1,uniform,0.7500498486846966,0.7585894152795561
cancer,28,2,distance,0.75099260181236,0.7751204194866167
cancer,30,1,distance,0.74601153565212,0.770943844887507
cancer,19,1,uniform,0.7470456143113016,0.7448478751295653
cancer,18,2,uniform,0.751774548925882,0.74186406316688
cancer,11,1,uniform,0.7486516191503279,0.7241136211206634
cancer,9,1,uniform,0.7464073210096276,0.7305347234924698
cancer,4,2,distance,0.6951678633031333,0.7103149198219622
