dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_mean
diabetes,7,2,uniform,0.7912585365853659,0.7410746268656718,0.800597014925373,0.059522388059701226
diabetes,15,1,distance,0.8098804878048782,0.7768955223880597,0.800597014925373,0.02370149253731335
diabetes,29,1,uniform,0.8062227642276423,0.8119999999999999,0.800597014925373,-0.011402985074626892
diabetes,26,1,uniform,0.8038308943089432,0.8065074626865671,0.800597014925373,-0.005910447761194093
diabetes,11,1,distance,0.8055869918699186,0.7717611940298508,0.800597014925373,0.02883582089552228
diabetes,21,2,distance,0.8141252032520324,0.7818507462686567,0.800597014925373,0.01874626865671636
diabetes,24,1,distance,0.8150626016260162,0.800597014925373,0.800597014925373,0.0
diabetes,21,2,distance,0.8141252032520324,0.7818507462686567,0.800597014925373,0.01874626865671636
diabetes,12,2,distance,0.8106373983739837,0.771044776119403,0.800597014925373,0.02955223880597002
diabetes,2,2,distance,0.739889430894309,0.7149850746268656,0.800597014925373,0.0856119402985075
diabetes,21,1,distance,0.8135455284552846,0.7902089552238806,0.800597014925373,0.01038805970149248
diabetes,26,2,uniform,0.8086097560975609,0.7831044776119404,0.800597014925373,0.0174925373134327
diabetes,12,1,uniform,0.8052943089430894,0.7804776119402985,0.800597014925373,0.02011940298507453
diabetes,27,1,uniform,0.8065260162601625,0.8125373134328358,0.800597014925373,-0.011940298507462699
diabetes,10,2,distance,0.8053235772357723,0.7663880597014925,0.800597014925373,0.034208955223880566
diabetes,28,2,uniform,0.811929268292683,0.7874029850746269,0.800597014925373,0.013194029850746136
diabetes,30,2,uniform,0.8119154471544716,0.7917611940298508,0.800597014925373,0.008835820895522262
diabetes,30,1,distance,0.8142260162601624,0.8087164179104478,0.800597014925373,-0.008119402985074742
diabetes,23,2,distance,0.8169650406504065,0.7867462686567164,0.800597014925373,0.013850746268656677
diabetes,25,1,uniform,0.8052731707317073,0.8040597014925374,0.800597014925373,-0.003462686567164308
diabetes,19,1,uniform,0.808921138211382,0.7864477611940299,0.800597014925373,0.014149253731343125
diabetes,9,1,distance,0.7986585365853658,0.7659701492537314,0.800597014925373,0.03462686567164164
diabetes,4,1,distance,0.7762528455284552,0.7217313432835821,0.800597014925373,0.07886567164179092
diabetes,14,2,distance,0.8106008130081299,0.7776716417910448,0.800597014925373,0.022925373134328297
