dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,cv_roc_auc,test_roc_auc
diabetes,0.008405063462102859,30.0,20.0,2.0,0.8061427696078431,0.7223283582089552
diabetes,0.02418227144328358,30.0,31.0,60.0,0.7334459993674889,0.7094328358208956
diabetes,0.01966829649338178,18.0,22.0,34.0,0.8058265140733712,0.7094328358208956
diabetes,0.0,19.0,17.0,2.0,0.7761818815227702,0.7186268656716417
diabetes,0.04462489912594838,30.0,1.0,60.0,0.6972248576850095,0.6012537313432835
diabetes,0.1,30.0,41.0,2.0,0.5416666666666666,0.7043582089552239
diabetes,0.02426865122591984,1.0,35.0,2.0,0.7334459993674889,0.6380298507462686
diabetes,0.013643579871853957,24.0,20.0,34.0,0.8058265140733712,0.7223283582089552
diabetes,0.03517719153268629,30.0,19.0,60.0,0.7680660974067046,0.7094328358208956
diabetes,0.017256793619163924,22.0,19.0,34.0,0.8051754724067046,0.7094328358208956
diabetes,0.013666385880322368,22.0,21.0,60.0,0.8058265140733712,0.7094328358208956
diabetes,0.01875569895001656,30.0,17.0,2.0,0.7694385970113853,0.7094328358208956
diabetes,0.010519666014141612,26.0,20.0,29.0,0.8058265140733712,0.7223283582089552
diabetes,0.02499440999159837,23.0,21.0,32.0,0.8058265140733712,0.7094328358208956
diabetes,0.024968814037113717,30.0,9.0,60.0,0.7250009882985452,0.7094328358208956
diabetes,0.02123088918149412,16.0,21.0,2.0,0.8058265140733712,0.7094328358208956
diabetes,0.013598955764550672,19.0,17.0,60.0,0.7776797715053764,0.7094328358208956
diabetes,0.0,25.0,20.0,60.0,0.8058265140733712,0.7094328358208956
diabetes,0.033761634378210295,1.0,28.0,60.0,0.7334459993674889,0.6012537313432835
diabetes,0.015735593312032527,30.0,21.0,60.0,0.8058265140733712,0.7094328358208956
diabetes,0.02101497956585493,25.0,20.0,42.0,0.8058265140733712,0.7094328358208956
diabetes,0.0,1.0,60.0,60.0,0.5,0.679820895522388
diabetes,0.012758369201070674,23.0,21.0,2.0,0.8058265140733712,0.7517014925373133
diabetes,0.03637484898306447,1.0,39.0,60.0,0.7266761543327008,0.7043582089552239
diabetes,0.1,1.0,16.0,60.0,0.6301786843769767,0.6012537313432835
