dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,cv_roc_auc,test_roc_auc
heart,0.0,28.0,41.0,2.0,0.786579910169826,0.7718474845816686
heart,0.0,1.0,1.0,60.0,0.6757958921061805,0.7251270315348513
heart,0.0,20.0,41.0,60.0,0.786579910169826,0.7718474845816686
heart,0.0022877873460571342,22.0,39.0,60.0,0.7873955981475343,0.7718086963267523
heart,0.0,22.0,37.0,60.0,0.7865563643369423,0.7675032000310307
heart,0.0,23.0,40.0,60.0,0.7872890967147533,0.7718474845816686
heart,0.01056474022869116,30.0,1.0,60.0,0.7571445147246871,0.7658934874519996
heart,0.021864277615776872,21.0,18.0,11.0,0.7541170466235464,0.7658934874519996
heart,0.0016542990795769593,26.0,39.0,60.0,0.7883580779777218,0.7718086963267523
heart,0.005078650127950096,25.0,40.0,60.0,0.782858962996805,0.7858112563515767
heart,0.0,30.0,39.0,60.0,0.7879609964194633,0.769617159923975
heart,0.035458177145514067,11.0,23.0,2.0,0.7541170466235464,0.7658934874519996
heart,0.0017440221655470448,24.0,38.0,2.0,0.7877774342834313,0.7718086963267523
heart,0.000664500954533396,28.0,38.0,60.0,0.7882698948043805,0.7714596020325045
heart,0.0511277263854544,30.0,60.0,60.0,0.6757958921061805,0.7251270315348513
heart,0.0022237832675345496,19.0,44.0,2.0,0.789050258907201,0.7718086963267523
heart,0.0022369941226407677,17.0,49.0,2.0,0.7783171455275958,0.7718086963267523
heart,0.002759794199433705,18.0,40.0,2.0,0.7857251829096645,0.7687832124432723
heart,0.025298530985602075,1.0,18.0,2.0,0.6757958921061805,0.7251270315348513
heart,0.04133217927364255,14.0,40.0,2.0,0.7541170466235464,0.7658934874519996
heart,0.003110038796964632,21.0,44.0,2.0,0.7860456805669754,0.7687832124432723
heart,0.010593278913593579,19.0,28.0,60.0,0.7571445147246871,0.7658934874519996
heart,0.01979401889755827,7.0,1.0,2.0,0.7541170466235464,0.7658934874519996
heart,0.0020612823916131727,18.0,43.0,60.0,0.7892823133626466,0.7718086963267523
heart,0.03196893880180218,19.0,51.0,2.0,0.7541170466235464,0.7658934874519996
heart,0.0018572343188339201,26.0,35.0,60.0,0.7844903026982447,0.7718086963267523
heart,0.03325650516111623,20.0,25.0,60.0,0.7541170466235464,0.7658934874519996
heart,0.0006892375624992949,17.0,44.0,2.0,0.7886351283690415,0.7732826500135759
heart,0.0005846017437345679,19.0,45.0,60.0,0.7839812331053467,0.7732826500135759
heart,0.002580922309109484,14.0,44.0,2.0,0.7846493033899847,0.7687832124432723
heart,0.002754541341976117,17.0,44.0,2.0,0.7860456805669754,0.7687832124432723
heart,0.0,13.0,38.0,2.0,0.7882698948043805,0.7697529188161825
heart,0.03824728067442315,30.0,35.0,51.0,0.7541170466235464,0.7658934874519996
heart,0.018419537507420647,16.0,41.0,60.0,0.7541170466235464,0.7658934874519996
heart,0.014250013257523937,1.0,30.0,2.0,0.6757958921061805,0.7251270315348513
heart,0.0,15.0,41.0,60.0,0.786579910169826,0.7718474845816686
heart,0.0,12.0,32.0,2.0,0.7796389915288148,0.7664559171482874
heart,0.0,16.0,38.0,2.0,0.7882698948043805,0.7697529188161825
heart,0.001563423195905609,14.0,39.0,2.0,0.7883580779777218,0.7718086963267523
heart,0.0008160094677947291,17.0,41.0,2.0,0.786579910169826,0.7726232496799968
heart,0.001189902908319309,14.0,38.0,60.0,0.7878774227517663,0.773961444474613
